Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Michael Pawlus,michaelpawlus,2018-02-05 15:34:29,https://t.co/6Qe0v0G8p1,"My #MakeoverMonday contribution. A look at baseball player value compared with share of players by ethnicity.
https://t.co/6Qe0v0G8p1","Los Angeles, CA",Central Time (US & Canada),en,,34.054935,-118.244476
Curtis Harris,Harris7Curtis,2018-02-05 15:28:58,https://t.co/I5PS74wVkg,"Wish I had endless time to work on this week’s #MakeoverMonday topic. Baseball is near and dear to my heart, and I… https://t.co/I5PS74wVkg","Salt Lake City, UT",Pacific Time (US & Canada),en,,40.7670126,-111.8904308
Nish Goel,thevizlover,2018-02-05 15:20:56,https://t.co/GQT2fFWrIE,"#MakeoverMonday week 6 viz #2: 'Ethnic Minorities gained player share, Majority lose'. Practiced visualising a diff… https://t.co/GQT2fFWrIE","West Midlands, England",London,en,,52.5050033,-1.96439612333127
Spencer Baucke,JSBaucke,2018-02-05 15:20:28,https://t.co/PHSChlDwdS,"I love seeing these #MakeOverMonday submissions for #BlackHistoryMonth, but I think it's important to note that Jac… https://t.co/PHSChlDwdS","Cincinnati, OH",,en,,39.1014537,-84.5124602
Yeouth,yeouth,2018-02-05 15:12:35,https://t.co/QT0hzugaO5,"Oily or acne-prone? Clay mask is a must! They're not only funny for Facebook pictures, but they also help soak up a… https://t.co/QT0hzugaO5","Albuquerque, NM",,en,,35.0841034,-106.6509851
Marc Schønwandt,MarcSchonwandt,2018-02-05 15:04:53,https://t.co/TjoALi2Anf,Quick &lt;1 hour #makeovermonday this week. Ethnic Eras in #MLB since 1947. White men have always been outnumbering ot… https://t.co/TjoALi2Anf,Copenhagen,Copenhagen,en,,55.6867243,12.5700724
Mark Bradbourne,MarkBradbourne,2018-02-05 14:57:25,https://t.co/r5ETcXCVP0,#MakeoverMonday https://t.co/r5ETcXCVP0  Prejudice or Preference? https://t.co/4lb7ywJPcL,"Cleveland, OH",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DVR6z-3V4AAx6d8.jpg,41.5051613,-81.6934446
Mark Bradbourne,MarkBradbourne,2018-02-05 14:52:28,https://t.co/SfyVVZcOPs,#MakeoverMonday Prejudice or Preference? The article highlights the decrease in Black players. I would theorize it… https://t.co/SfyVVZcOPs,"Cleveland, OH",Eastern Time (US & Canada),en,,41.5051613,-81.6934446
Tushar More,tusharz_more,2018-02-05 14:38:42,https://t.co/mU0vvCUkAY,#MakeoverMonday wk-6: Impact of African American players in Baseball.  #VisualizeDiversity #BlackHistoryMonth… https://t.co/mU0vvCUkAY,,New Delhi,en,,,
Simon Beaumont,SimonBeaumont04,2018-02-05 14:37:49,https://t.co/HBZAiwm5AK,My #MakeoverMonday looks at the changing demographics of Baseball between 1947 and 2016 as part of… https://t.co/HBZAiwm5AK,"Portsmouth, England",,en,,50.8036831,-1.075614
Daniel Ling,DanielLing13,2018-02-05 14:36:11,https://t.co/mKOKy2Fn5v,"#MakeoverMonday week 6: Ethnicity within Major League Baseball @MLB
@TriMyData @VizWizBI 
@tableaupublic link:… https://t.co/mKOKy2Fn5v","Mostly Killarney, Ireland",,en,,,
Adam Crahen,acrahen,2018-02-05 14:10:19,https://t.co/tK6WDUYK0M,"#MakeoverMonday S3 E6 - MLB Demographics
https://t.co/tK6WDUYK0M https://t.co/92rA1WUNQz","Honeoye Falls, NY",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DVRwFgbXcAApkf5.jpg,42.9520098,-77.5914698
Datavis Tech,datavis_tech,2018-02-05 14:04:33,https://t.co/pmRC2KPV8N,This week's #MakeoverMonday dataset on Baseball Demographics is available in https://t.co/pmRC2KPV8N https://t.co/UJEuxknTvE,,Pacific Time (US & Canada),en,,,
Heritage Works DBQ,HeritageWorkDBQ,2018-02-05 14:00:05,https://t.co/rshh6STbXo,#MakeoverMonday National Trust for Historic Preservation has a short article with a few ideas to help your... https://t.co/rshh6STbXo,"Dubuque, IA",Central Time (US & Canada),en,,42.5006217,-90.6647967
Mary,MarriedInSneaks,2018-02-05 13:48:04,https://t.co/idayUkjG62,"Just when I thought I had it all together, I go and follow the @DalaiLama  on Twitter. I think I'm in need of a maj… https://t.co/idayUkjG62","Pennsylvania, USA",,en,,40.9699889,-77.7278831
Luke Minors,LukeMinors,2018-02-05 13:40:05,https://t.co/vKze2xdwFj,Some good reading here for those looking at @tableau #MakeoverMonday - https://t.co/vKze2xdwFj #baseball #WAR #NotGotAClue,"London, England",Pacific Time (US & Canada),en,,51.5073219,-0.1276474
sbartels,sb__89,2018-02-05 13:34:47,https://t.co/swxrW8UZPU,For my 1 hour #MakeoverMonday at @infolabDE I stayed close to the original vizz and added some kind of interactivit… https://t.co/swxrW8UZPU,,,en,,,
Gott,gott9_0,2018-02-05 13:28:02,https://t.co/RQaJUcftSo,"Not a #Makeovermonday viz but as a french, football and PSG fan, I though this would be worth the try to see how fo… https://t.co/RQaJUcftSo","Manchester, England",Paris,en,,53.4791301,-2.2441009
