Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Natasha K,data_hungry,2018-01-07 20:48:00,https://t.co/cWmd0zCSqH,@AMTripathi3 @VizWizBI @jonni_walker @echenty @rajvivan @databrit @louisarcher You can also try participating in? https://t.co/cWmd0zCSqH,"London, England",,en,,51.5073219,-0.1276474
Zak Geis,zaksviz,2018-01-07 20:29:00,https://t.co/SuBxne42IR,"Week 2 of #MakeoverMonday.  What are the most important characteristics to women and men?
https://t.co/SuBxne42IR? https://t.co/mqnHBdlIqk",,Pacific Time (US & Canada),en,,45.1674908,5.4175633
Charis Klimas,CharisKlimas,2018-01-07 20:13:00,https://t.co/xHCvjN7wbx,Flaunt Your Personality: it's likely what your future romantic partner thinks is your most important characteristic? https://t.co/xHCvjN7wbx,,Pacific Time (US & Canada),en,,45.1674908,5.4175633
Chantal Melser,Mongoosita,2018-01-07 19:57:00,https://t.co/gozi2MVh5p,"Second try with Tableau. How do I get at x-axis the ranks 1-6? It shows only the 2, 4 and 6 now. #MakeoverMonday? https://t.co/gozi2MVh5p","Nederland, Utrecht.",Unknown,en,,52.08095165,5.127680315
Y94,Y94Official,2018-01-07 19:17:00,https://t.co/yd6ctOCYVm,#MakeOverMonday w/The Playhouse; free makeovers for deserving area women! Nominate someone today! https://t.co/yd6ctOCYVm,"Fargo, North Dakota",Central Time (US & Canada),en,,46.877229,-96.78982099999999
Christine Bianchi,cmbianchi_,2018-01-07 19:16:00,https://t.co/YTbqtBrK3J,#MakeoverMonday Week 2 #Tableau @VizWizBI @TriMyData https://t.co/YTbqtBrK3J https://t.co/CtAgyfiP8b,,,en,http://pbs.twimg.com/media/DS9ecLSWkAEG1KS.jpg,45.1674908,5.4175633
Sagar Manhas,iamsagarmanhas,2018-01-07 19:09:00,https://t.co/HmaUyTvtAA,"Week 2 Visualization for #Makeovermonday !
Tableau Public : https://t.co/HmaUyTvtAA
@mattsmithetc @YouGov? https://t.co/yJKMbqAQXx",india,Chennai,en,,22.3511148,78.6677428
Harry Cooney,HCooneyData,2018-01-07 18:49:00,https://t.co/X2q06K09te,"#MakeoverMonday Week 2 #Tableau @VizWizBI @TriMyData  @mattsmithetc @YouGov
https://t.co/X2q06K09te https://t.co/HyKJOgRdz6",,,en,http://pbs.twimg.com/media/DS9Zx1gWAAIzW5j.jpg,45.1674908,5.4175633
Philip Riggs,PhilipDRiggs,2018-01-07 18:31:00,https://t.co/uc3221S0Op,"My #MakeoverMonday week 02 ended up looking a lot like @TriMyData , but submitting anyway. @VizWizBI #Tableau? https://t.co/uc3221S0Op","Fort Collins, Colorado",Mountain Time (US & Canada),en,,40.5508527,-105.0668085
Ali Motion,alimotion,2018-01-07 18:15:00,https://t.co/76vIAls6Gc,#makeovermonday 2018 - Week: What characteristics are important to British women and men a.k.a. Looks vs. Personali? https://t.co/76vIAls6Gc,,,en,,45.1674908,5.4175633
Rahadiyan Dewangga,rahadiyan,2018-01-07 17:33:00,https://t.co/JZyumyc0l2,So excited to finally be able to join #MakeoverMonday and I'd like to keep it simple for my first submission.? https://t.co/JZyumyc0l2,Unknown,Pacific Time (US & Canada),en,,,
ChromolumeSeven,ChromolumeSeven,2018-01-07 16:47:00,https://t.co/a48dsbekPG,"My first Makeover Monday submission week 1...better late than never!! 

Using data on meat and poultry consumption? https://t.co/a48dsbekPG","Silver Spring, MD",,en,,38.9959081,-77.0288918
alex,ealexdixon,2018-01-07 15:57:00,https://t.co/3JeXXjjWGf,"My first deep-dive into #GoogleDataStudio for #MakeoverMonday Week 2!

 Important Characteristics in Romantic Partn? https://t.co/3JeXXjjWGf","lexington, ky",Unknown,en,,38.0464066,-84.4970393
Jamie Witter,jamiewitter,2018-01-07 15:45:00,https://t.co/3plfmUCh0t,"#makeovermonday Across the globe, when looking for a partner, personality is rated as more important than looks. Wh? https://t.co/3plfmUCh0t","Atlanta, GA",Eastern Time (US & Canada),en,,33.749098700000005,-84.39018490000001
Rodrigo Calloni,tableauing,2018-01-07 15:13:00,https://t.co/n1QYYa9JZ4,"another legacy #makeovermonday year 1 week 5

The rise of ONLINE BOOKING and fall of TRAVEL AGENTS in the US

Link:? https://t.co/n1QYYa9JZ4","Washington, DC",,en,,38.8949549,-77.03664559999999
shivaraj,shivrajc,2018-01-07 15:10:00,https://t.co/XX2nvfPJK4,"What characteristics people look for in a partner
https://t.co/XX2nvfPJK4 
 #makeovermonday https://t.co/rNpTE9MvcW","India, Bangalore",New Delhi,en,http://pbs.twimg.com/media/DS8nxf5V4AETiYt.jpg,12.979119800000001,77.5912997
LM-7,LunarModule7,2018-01-07 13:55:00,https://t.co/B35EMPQZ6O,#MakeoverMonday Week 2: ??? ?????? ?????????? ????? ???????'? ??????????????? https://t.co/B35EMPQZ6O #MMVizPreview? https://t.co/Wb0246tp09,,Tokyo,ja,,45.1674908,5.4175633
DataVizAbby,Abbylovesdata,2018-01-07 11:54:00,https://t.co/QWBtqLWsTW,Just published my first #MakeoverMonday. The plan is to complete all through the year. https://t.co/QWBtqLWsTW? https://t.co/OpwJF6dMtX,"Lagos, Nigeria",Unknown,en,,6.4550575,3.3941795
Sarah Burnett,sezbee,2018-01-07 08:03:00,https://t.co/8lBxlkwyXb,"Finally managed to watch the #makeovermonday webinar &amp; made some adjustments made on the discussion, including a re? https://t.co/8lBxlkwyXb",Singapore,Wellington,en,,1.2904753,103.8520359
sadaquat...,sadaquatkhan,2018-01-07 07:12:00,https://t.co/dHltIXc3nR,U.S. LiveStock Consumption Tableau #makeovermonday. https://t.co/dHltIXc3nR via @tableaupublic,,Unknown,en,,45.1674908,5.4175633
Darshana Benhur,darshben,2018-01-07 04:00:00,https://t.co/ccAnT3IZA3,Tableau #makeovermonday Chicken over Beef? America says so https://t.co/ccAnT3IZA3 https://t.co/LaOGhWlZ2A,"Kansas City, MO",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DS6OJF4VAAIjKlJ.jpg,38.73285,-94.534816
Troy Kranendonk,TroyKranendonk,2018-01-08 23:23:00,https://t.co/FQYptPK5YU,"Personality vs Money in America |  #MakeoverMonday |  https://t.co/FQYptPK5YU
@tableaupublic https://t.co/4VmCm9EnXx","Layton, Utah",Mountain Time (US & Canada),en,http://pbs.twimg.com/media/DTDiAM3V4AA2Jf5.jpg,41.0751048,-111.9741925
Frederic Fery,_mydata,2018-01-08 22:50:00,https://t.co/eV9jwSxirQ,Personality is rated more important than looks (minus Vietnam) according to data provided by @mattsmithetc @YouGov? https://t.co/eV9jwSxirQ,Brisbane Australia,Brisbane,en,,-27.468968199999996,153.02349909999998
Dan Harrison,danosirra,2018-01-08 22:19:00,https://t.co/9VipkPgbl1,Why not use my #Tableau viz to figure out where to go to find people who might find you attractive? #MakeoverMonday? https://t.co/9VipkPgbl1,"Westminster, London",London,en,,51.4973206,-0.137149
Rosario Gauna,rosariogaunag,2018-01-08 22:17:00,https://t.co/N5O3vtkNWV,Week02 - When People look for Love for #MakeoverMonday according to @yougov data provided by @mattsmithetc |? https://t.co/N5O3vtkNWV,"Nuevo León, México",Pacific Time (US & Canada),en,,26.2384363,-99.8873
sema,semakaran,2018-01-08 22:09:00,https://t.co/cARHayOjXQ,"Finally I can submit my week2  #MakeoverMonday!  It's good to see that ""Personality"" is ranked by more people for m? https://t.co/cARHayOjXQ","Amsterdam, Nederland",Quito,en,,52.3745403,4.897975506
Shunta  / ????,Dandee_House,2018-01-08 22:04:00,https://t.co/ikaiCgsPXp,"My first #MakeoverMonday this year!
https://t.co/ikaiCgsPXp https://t.co/YMs6QN5JUl",Unknown,Hawaii,en,http://pbs.twimg.com/media/DTDQEZDUQAAuwRH.jpg,,
Young Song,ycsong21,2018-01-08 21:52:00,https://t.co/XvxdocTCPf,@TriMyData @VizWizBI @mattsmithetc @YouGov @tableaupublic More cleaned-up version of #MakeoverMonday week 3 submiss? https://t.co/XvxdocTCPf,"Brisbane, Queensland",Unknown,en,,-27.468968199999996,153.02349909999998
Kevin Kretzmer,kev_viz,2018-01-08 21:49:00,https://t.co/ykeHPgrHV0,"Important Characteristics in a Relationship
#MakeoverMonday week 2 2018 #Tableau
https://t.co/ykeHPgrHV0 https://t.co/MPhQSr2Ix0",Unknown,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTDManGXkAIkvl7.jpg,,
Michael DiPalma,MichaelLDiPalma,2018-01-08 21:49:00,https://t.co/PCf5n90rUq,"#MakeoverMonday week 1. Catching up, as I strive for 52 for 52 in 2018! Interactive viz at https://t.co/PCf5n90rUq? https://t.co/ybzxdt8rms",Unknown,Eastern Time (US & Canada),en,,,
Narendran Santhanam,meetnaren,2018-01-08 21:46:00,https://t.co/Mn9oWP1gsB,"#MakeoverMonday @VizWizBI @YouGov @tableaupublic Personality is indeed more important... well, mostly.? https://t.co/Mn9oWP1gsB",Unknown,Chennai,en,,,
Aparna,AparnaNelapati,2018-01-08 21:36:00,https://t.co/7RJaOpJwA9,"After Trump Elected H1b Petitions  count reduced.....@tableaupublic 
i am really thankful to #MakeoverMonday ,for t? https://t.co/7RJaOpJwA9",Unknown,Unknown,en,,,
Tiyoke Tiyoke,TiyokeUK,2018-01-08 21:32:00,NoLink,Makeover time!! #MakeoverMonday #Makeover #suitcase #suitcasecover #travel #holiday #black https://t.co/SxBZU64OXx,"England, United Kingdom",Unknown,en,http://pbs.twimg.com/media/DTDIvUIW4AUwu5G.jpg,52.795479099999994,-0.540240287
Lee Durbin,lddurbin,2018-01-08 21:28:00,https://t.co/sktfMQDJqU,In which I re-engage with #MakeoverMonday by re-creating @VizWizBI's Week 1 submission and discover basic Tableau f? https://t.co/sktfMQDJqU,"Ottery St Mary , Rhondda",London,en,,,
Shannon Dussoye ?,shannondussoye,2018-01-08 21:25:00,https://t.co/4hLzvo7VEo,#MakeoverMonday 2/52: Brit preferences in a romantic partner. Simple area chart to compare Men vs Women preferences? https://t.co/4hLzvo7VEo,"Sydney, New South Wales",Unknown,en,,-33.8548157,151.2164539
Cole Knaflic,storywithdata,2018-01-08 21:09:00,https://t.co/2oOTXcOMpo,"Ah, now it becomes clear why I've seen so many meat-focused lines: multi-purpose #dataviz crossing #SWDchallenge &amp;? https://t.co/2oOTXcOMpo","San Francisco, CA",Pacific Time (US & Canada),en,,46.844324799999995,-71.2743272
Paul Morgan,p__morgan,2018-01-08 20:18:00,https://t.co/fbUnncUa2i,@TriMyData @VizWizBI #MakeoverMonday What is the single most important characteristic people look for in a romantic? https://t.co/fbUnncUa2i,"NC, USA",Eastern Time (US & Canada),en,,35.6729639,-79.03929190000001
Umar Hassan,umarjourno,2018-01-08 19:57:00,https://t.co/ZovHWGuzDK,"Really enjoyed this week's difficult #MakeoverMonday dataset. Inspired by the simplicity of @CharlieHTableau, here'? https://t.co/ZovHWGuzDK","Birmingham, England",London,en,,52.4776875,-1.8948516
Jakub Jaros,jarosk88,2018-01-08 19:48:00,https://t.co/YNQyU1KP2D,"#MakeoverMonday @VizWizBI @TriMyData 
Week 2 - What Characteristics Are Most Important?
https://t.co/YNQyU1KP2D https://t.co/qsIC3Pod5x",Unknown,Unknown,en,http://pbs.twimg.com/media/DTCwvCcW4AASVhP.jpg,,
Michael Pawlus,michaelpawlus,2018-01-08 19:41:00,https://t.co/PVLB7kke5W,A quick reformatting of the Looks vs. Personality dataset for the #MakeoverMonday project. Thanks to @mattsmithetc? https://t.co/PVLB7kke5W,"Los Angeles, CA",Central Time (US & Canada),en,,34.054935,-118.244476
Andrew Herman,andyth14,2018-01-08 19:32:00,https://t.co/oVcCPYkxKO,"First ever #MakeoverMonday.... all feedback much appreciated! 
Week  2 | How important is Personality to European M? https://t.co/oVcCPYkxKO",Unknown,Pacific Time (US & Canada),en,,,
Dilyana Suleymanova,DilyanaFlower,2018-01-08 19:29:00,https://t.co/tPAQ4KkZXA,Forgot to post my viz for #MakeoverMonday  week1 https://t.co/tPAQ4KkZXA https://t.co/ZYeSzk2kEf,"Berlin, Deutschland",Unknown,en,http://pbs.twimg.com/media/DTCsnFRW0AE0-Dm.jpg,52.517036499999996,13.388859900000002
Neil Richards,theneilrichards,2018-01-08 19:26:00,https://t.co/tr3SIRJxsK,What are the most important factors in a romantic partner? https://t.co/tr3SIRJxsK  Inspiration from @OECD Better L? https://t.co/2PPwZ4e3QN,"Derbyshire, UK",London,en,,53.11850329999999,-1.556617931
Alexander Spät,alexander_spaet,2018-01-08 19:13:00,https://t.co/QRFduftdNt,"#MakeoverMonday - week 2 - #Tableau - https://t.co/QRFduftdNt - Across the globe, personality is rated as more impo? https://t.co/vbBgLG9WYB",Unknown,Unknown,en,,,
Nirupama Puthur Venkataraman,Nirupamaprv,2018-01-08 18:32:00,https://t.co/PCwAoJxgEj,My first Tableau Viz Makeover : Looks vs Personality - Week 2: https://t.co/PCwAoJxgEj #MakeoverMonday #Tableau? https://t.co/iOwRgWjZfA,Illinois,Unknown,en,,40.079631899999995,-89.4339809
Nirupama Puthur Venkataraman,Nirupamaprv,2018-01-08 18:26:00,https://t.co/PCwAoJxgEj,My First @tableau Makeover : https://t.co/PCwAoJxgEj #MakeoverMonday https://t.co/Bg9iZ9guAh,Illinois,Unknown,en,http://pbs.twimg.com/media/DTCeFtAWkAA47HD.jpg,40.079631899999995,-89.4339809
Narendran Santhanam,meetnaren,2018-01-08 18:04:00,https://t.co/nYWdn6twzm,"#MakeoverMonday replicating @YouGov's chart: https://t.co/nYWdn6twzm
@VizWizBI",Unknown,Chennai,en,,,
Scott Pflugler,spflugler,2018-01-08 17:30:00,https://t.co/k4xYtg99Ba,Data set provided by @mattsmithetc and @YouGov.  This week's #MakeoverMonday is ranking global relationship charact? https://t.co/k4xYtg99Ba,"Jersey City, NJ",Eastern Time (US & Canada),en,,40.7281575,-74.0776417
Matt Francis,Matt_Francis,2018-01-08 17:27:00,https://t.co/lAQXbtjJ1T,For #MakeoverMonday according to @yougov data provided by @mattsmithetc what makes the perfect partner?? https://t.co/lAQXbtjJ1T,UK,Amsterdam,en,,54.702354500000006,-3.2765752999999997
Simon Beaumont,SimonBeaumont04,2018-01-08 17:11:00,https://t.co/tsJMcvMuQB,"'Men and from Mars, Women are from Venus'

My #MakeoverMonday attempts to analyse the differences, across the globe? https://t.co/tsJMcvMuQB","Portsmouth, England",Unknown,en,,50.8036831,-1.0756139999999998
Matt Francis,Matt_Francis,2018-01-08 17:01:00,https://t.co/acNnhqaWBq,Doubling up #MakeoverMonday with @storywithdata #SWDchallenge is a look at how Beef and Chicken Prices have changed? https://t.co/acNnhqaWBq,UK,Amsterdam,en,,54.702354500000006,-3.2765752999999997
Matt Francis,Matt_Francis,2018-01-08 16:48:00,NoLink,arggghh why can't you format @tableau filter and parameter selected values!! #MakeoverMonday https://t.co/nOSxZuTAw3,UK,Amsterdam,en,http://pbs.twimg.com/media/DTCH1lkWAAAOE6R.jpg,54.702354500000006,-3.2765752999999997
Curtis Harris,Harris7Curtis,2018-01-08 16:01:00,https://t.co/3s5uiwvvGy,#MakeoverMonday Week 2 | Global Romantic Partner Preferences https://t.co/3s5uiwvvGy https://t.co/domqxj5dUJ,"Salt Lake City, UT",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTB84I0U0AYkCKD.jpg,40.7670126,-111.89043079999999
Rodrigo Calloni,tableauing,2018-01-08 15:56:00,https://t.co/EWzHwLDbd0,@TriMyData @CarstenWeidmann @sadanduseless ?rest well and soon you will be fine. BTW I did 90% of my? https://t.co/EWzHwLDbd0,"Washington, DC",Unknown,en,,38.8949549,-77.03664559999999
Adam Crahen,acrahen,2018-01-08 15:50:00,https://t.co/Lo9bTYPQBu,"#MakeoverMonday S3 E2 | Partner Preference
https://t.co/Lo9bTYPQBu https://t.co/nzOyfKI8xN","Honeoye Falls, NY",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTB6X_GWAAAeptu.jpg,42.9520098,-77.5914698
Sweet Dreams,SweetDreamsIowa,2018-01-08 15:47:00,NoLink,"Soft colors for a relaxing bedroom. Blush, white and gray. 
#MakeoverMonday
#SweetDreams https://t.co/osvTmgEWog","Nevada, Iowa",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTB58F-WsAAKici.jpg,42.022765299999996,-93.45243420000001
Clint Bond,ConcertClint,2018-01-08 15:44:00,https://t.co/60gWBBeshG,My first ever shot at #MakeoverMonday What are we looking for in a Mate? https://t.co/60gWBBeshG | Week 2  #Tableau? https://t.co/8TOBvYWazd,Kansas,Eastern Time (US & Canada),en,,38.27312,-98.58218719999999
Gina Reynolds,EvaMaeRey,2018-01-08 15:36:00,https://t.co/uPpGJsw8Hb,Ranking traits of romantic partners.  What's important? Ranked variables present some interesting challenges for vi? https://t.co/uPpGJsw8Hb,Unknown,Unknown,en,,,
TK,takazi88,2018-01-08 15:20:00,https://t.co/Glwbj0sBVp,"#MakeoverMonday Week - 2
Across the globe, Personality is rated as more important than looks. Viz link :? https://t.co/Glwbj0sBVp","Bengaluru, India",Unknown,en,,12.979119800000001,77.5912997
Dan LaDuke,dan_laduke,2018-01-08 14:57:00,https://t.co/G1hDB9DOsF,"@VizWizBI @TriMyData #MakeoverMonday #Tableau #MMVizReview
Week 2 2018 First Makeover Monday!!! You two are great!
https://t.co/G1hDB9DOsF",Unknown,Unknown,en,,,
Tushar More,tusharz_more,2018-01-08 14:56:00,https://t.co/nUurHR2tSG,"#MakeoverMonday wk-2, What personality attributes are mostly preferred by men and women in your nationality? Thanks? https://t.co/nUurHR2tSG",Unknown,New Delhi,en,,,
JT Jack-fm,JTeespeak,2018-01-08 14:45:00,https://t.co/y3Hl9jQDr7,Today is #MakeoverMonday watch my friend @JeffAngobaldoMD do a live procedure at https://t.co/y3Hl9jQDr7 or book ur? https://t.co/fUwXpmljwB,"Dallas, TX",Unknown,en,,32.7762719,-96.7968559
Ludovic Tavernier,ltavernier7,2018-01-08 14:37:00,https://t.co/KBNwvU0SoI,#MakeoverMonday - Gender Equality and Romantic Preferences - More common choices (or at least pretending) go with p? https://t.co/KBNwvU0SoI,"Nantes, France",Unknown,en,,47.2186371,-1.5541361999999999
Amarendranath D,AmarendranathD,2018-01-08 14:21:00,https://t.co/bqFaSNFDkR,"#MakeoverMonday Revised with changes to sorting order. Thanks to  @TriMyData for the feedback.
Link -? https://t.co/bqFaSNFDkR","Philadelphia, PA",Chennai,en,,39.952399299999996,-75.1635899
Keith Dykstra,keith_dykstra,2018-01-08 13:59:00,https://t.co/IPIeXVvZLT,"Vietnam may be the worst place to be an ugly, single woman. Check out what men and women across the globe value in? https://t.co/IPIeXVvZLT","Washington, DC",Unknown,en,,38.8949549,-77.03664559999999
Regis Oconnor,RegisOconnor,2018-01-08 13:29:00,https://t.co/yXoPF3Po5v,"#MakeoverMonday #LooksvsPersonality
Inspiration comes from the jitter plot in the Big Book of Dashboards.? https://t.co/yXoPF3Po5v",Unknown,Unknown,en,,,
Li Zhang,IrislyLi,2018-01-08 13:11:00,https://t.co/3gqrFQRQ1O,#MakeoverMonday #Tableau #MMDataCamp @aleksoft @VizWizBi @TriMyData   WAS TOO BUSY HOPEFULLY I WILL KEEP THIS EVERY? https://t.co/3gqrFQRQ1O,Unknown,Krasnoyarsk,en,,,
Young Song,ycsong21,2018-01-08 12:39:00,https://t.co/YxYWOoQPU2,@TriMyData @VizWizBI  #MakeoverMonday week 3: personality is more important than looks when looking for a partner.? https://t.co/YxYWOoQPU2,"Brisbane, Queensland",Unknown,en,,-27.468968199999996,153.02349909999998
Matthijs Blenkers,MBlenkers,2018-01-08 12:21:00,https://t.co/zJG4pgyfPX,#MakeoverMonday week 2. With special thanks to @davisdataviz for the inspiration! Wanted the same but didn't know h? https://t.co/zJG4pgyfPX,Unknown,Amsterdam,en,,,
Sean Hurwitz,TheHurwitz,2018-01-08 11:50:00,https://t.co/g7GhyBGniv,"#MakeoverMonday Week 2 2018

https://t.co/g7GhyBGniv https://t.co/0HUKwGYUKL",Unknown,Unknown,en,http://pbs.twimg.com/media/DTBDkOcXkAAIAJw.jpg,,
Daniel Caroli,Danifornication,2018-01-08 11:20:00,https://t.co/ex5hNgDrrQ,"What Characteristics Do People want in a Romantic Partner?
#MakeoverMonday Week 02
@mattsmithetc @YouGov? https://t.co/ex5hNgDrrQ","Reading, England",London,en,,51.456659,-0.9696511999999999
Mehsam Raza Hemani,LucidDataArtist,2018-01-08 11:03:00,https://t.co/qXovK5Y0rJ,"Quite amazed by the results :D

@TheNationalUAE women like Money Makers :D
While same is vice versa for @australian? https://t.co/qXovK5Y0rJ",Karachi,Karachi,en,,25.147872,67.18219317
Jamie Smyth,JamieAndData,2018-01-08 10:59:00,https://t.co/D7tm7LMDyK,#MakeoverMonday Week 2 2018. UK vs USA. Looking at how relationship views differ across the Atlantic ???? @VizWizBI? https://t.co/D7tm7LMDyK,"London, England",Unknown,en,,51.5073219,-0.1276474
Andrew Lang,cloudstream_al,2018-01-08 10:54:00,https://t.co/QELPbCEHT5,my #MakeoverMonday for this week looking at the data from @mattsmithetc and @YouGov looking at how much people valu? https://t.co/QELPbCEHT5,London,Unknown,en,,51.5073219,-0.1276474
Nai Louza,nai_louza,2018-01-08 10:41:00,https://t.co/tj2hqPW0WR,"And I'm actually publishing on Monday! #MakeoverMonday 

https://t.co/tj2hqPW0WR https://t.co/DzITYgIB5h",Unknown,Unknown,en,http://pbs.twimg.com/media/DTAzz3-WAAA7XZr.jpg,,
Pawe? Wróblewski,ExcelRaport,2018-01-08 10:30:00,NoLink,#makeovermonday no 2 @TriMyData &amp; @VizWizBI https://t.co/PLzaW6tOsF,"Gda?sk, Polska",Unknown,und,http://pbs.twimg.com/media/DTAxTeeXUAE17iV.jpg,,
Axel W.,genetis,2018-01-08 10:02:00,https://t.co/AY28yBBHdc,"Incredible how much you can read out of a simple bump chart!

Can anybody tell me why my circles look odd when hove? https://t.co/AY28yBBHdc","AKL, NZ",Wellington,en,,-37.00889695,174.7912451
Wiktoria Rudz,WikiDataDrops,2018-01-08 09:50:00,https://t.co/cyarIav66u,"Warming up with #MakeoverMonday  week 2 before returning to work after 3 weeks sick leave :o 
Choose your sort orde? https://t.co/cyarIav66u","London, England",London,en,,51.5073219,-0.1276474
AvinashReddyMunnangi,AvinashMReddy,2018-01-08 09:35:00,https://t.co/MZMcAKojcF,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/MZMcAKojcF",Hyderabad,Unknown,en,,17.3886068,78.46080957
Chander Sharma,BeingChander,2018-01-08 09:32:00,https://t.co/bE7B9oGLMw,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/bE7B9oGLMw",Pune,New Delhi,en,,18.5203062,73.8543185
AvinashReddyMunnangi,AvinashMReddy,2018-01-08 09:29:00,https://t.co/FNSyuWIgrf,"#MakeOverMonday #Week2

**What should I look for in a Partner**
                Looks vs Personality... https://t.co/FNSyuWIgrf",Hyderabad,Unknown,en,,17.3886068,78.46080957
Harpak Home Shopping,HarpakHome,2018-01-08 09:24:00,https://t.co/tNx3Z5OJ5N,Before and after joining Harpak? A 2nd income can be extra cash to spend on yourself to indulge in life's little pl? https://t.co/tNx3Z5OJ5N,Unknown,Unknown,en,,,
AvinashReddyMunnangi,AvinashMReddy,2018-01-08 09:03:00,https://t.co/wgcs37wjZ5,#MakeoverMonday Week2 @VizWizBI @TriMyData #MMVizReview  @datadotworld  Live dashboards is here? https://t.co/wgcs37wjZ5,Hyderabad,Unknown,en,,17.3886068,78.46080957
Mohanarengan V,VMohanarengan,2018-01-08 08:33:00,https://t.co/i4wTNWkIMI,"@VizWizBI  @TriMyData 
@mattsmithetc @YouGov @tableaupublic #MakeoverMonday #Tableau

https://t.co/i4wTNWkIMI https://t.co/zpuqofCJi9","Chennai, India",Unknown,und,http://pbs.twimg.com/tweet_video_thumb/DTAVs0rUQAAIM1v.jpg,13.080172099999999,80.2838331
Michael DiPalma,MichaelLDiPalma,2018-01-08 08:01:00,https://t.co/SO6OBZyQLd,#MakeoverMonday Week 2. #Tableau @VizWizBI Looks similar to viz from @TriMyData Full viz at https://t.co/SO6OBZyQLd https://t.co/j4t4BGclVw,Unknown,Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTAOsgrVAAEUqZQ.jpg,,
John Keegan,vizBrewer,2018-01-08 06:10:00,https://t.co/GMPWR3lOBl,"Practicing some floating sheets, and sort of a slope chart.
@VizWizBI  @TriMyData 
@mattsmithetc @YouGov? https://t.co/GMPWR3lOBl","Virginia, USA",Eastern Time (US & Canada),en,,37.1232245,-78.4927721
MRF Data,mrf_data,2018-01-08 06:06:00,https://t.co/dvhOG6Fp6M,"My debut #MakeoverMonday using #Tableau! | Where are men and women on the same page?
@VizWizBI @TriMyData? https://t.co/dvhOG6Fp6M","Chicago, IL",Pacific Time (US & Canada),en,,41.8755546,-87.6244212
Pranay Madan,DataMadan,2018-01-08 05:55:00,https://t.co/QZFVHfIxLq,My First #MakeoverMonday of 2018 | What personality characteristics do you prefer in a romantic partner?? https://t.co/QZFVHfIxLq,"Los Angeles , California",Tijuana,en,,34.14300789999999,-118.1417617
favkart,favkart,2018-01-08 05:23:00,https://t.co/dTpHiXlxvq,?The #world as we have created it is a process of our #thinking. It cannot be changed without changing our thinking? https://t.co/dTpHiXlxvq,"Gurgaon, Haryana",New Delhi,en,,28.48895715,77.01078378
Mike Cisneros,mikevizneros,2018-01-08 05:16:00,https://t.co/jtfu5L6SVQ,"What Do We (Say We) Look For In a Partner?

Breaking news: guys are shallow.

#MakeoverMonday
Viz:? https://t.co/jtfu5L6SVQ","Washington, DC",Unknown,en,,38.8949549,-77.03664559999999
Josh Tapley,josh_tapley,2018-01-08 04:49:00,https://t.co/sLryoAdoWw,@VizWizBI from #MakeoverMonday and @tableau #ZenMaster fame hits 600 vizzes! Want to know which has the most views? https://t.co/sLryoAdoWw,"Philadelphia, PA",Unknown,en,,39.952399299999996,-75.1635899
Susan Glass,SusanJG1,2018-01-08 04:17:00,https://t.co/119rBBrKy9,#makeovermonday Differences in the romantic preference survey for women in developed versus developing countries -? https://t.co/119rBBrKy9,Unknown,Unknown,en,,,
Ije Iruemi,ijegbai_iruemi,2018-01-08 04:03:00,https://t.co/AV1NLOuiMy,"First #MakeoverMonday attempt showing the personality characteristics most important to Australian women and men, f? https://t.co/AV1NLOuiMy",Australia,Solomon Is.,en,,-24.7761086,134.755
Lisa Ferretti,lisaferretti29,2018-01-08 03:31:00,https://t.co/l75FrqL7Jq,#MakeoverMonday Week 2: Personality vs. Looks: https://t.co/l75FrqL7Jq @TriMyData @tableau https://t.co/uFqT1Fow6c,"Philadelphia, PA",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DS_Q7pAU8AEGU4z.jpg,39.952399299999996,-75.1635899
Cole Knaflic,storywithdata,2018-01-08 03:10:00,https://t.co/P2q7DfkzXA,"Ah, I remember this #MakeoverMonday?the difference in scale was tricky! You've found a nice solution here. Though I? https://t.co/P2q7DfkzXA","San Francisco, CA",Pacific Time (US & Canada),en,,46.844324799999995,-71.2743272
Jeff Hancock,dukie1993jh,2018-01-08 02:43:00,https://t.co/uOQEa6PFKy,@TriMyData @VizWizBI #makeovermonday Romantic Preferences - World Averages vs. National.  https://t.co/uOQEa6PFKy https://t.co/Yi29tCqFO5,"Fairfax, VA",Unknown,en,http://pbs.twimg.com/media/DS_GZOKXUAEamYo.jpg,38.8462236,-77.3063733
Ed,edmundneil,2018-01-08 02:15:00,https://t.co/Pg7VSfG3fJ,"Do you want to participate in the #MakeoverMonday weekly activity and join a great #DataVisualization community?
He? https://t.co/Pg7VSfG3fJ",Costa Rica,Central America,en,,10.2735633,-84.0739102
